ID,ds,y
9803,2011-07-05,53.389999
9804,2011-07-06,53.720001
9805,2011-07-07,54.490002
9806,2011-07-08,54.080002
9807,2011-07-11,53.869999
9808,2011-07-12,53.939999
9809,2011-07-13,54.02
9810,2011-07-14,53.630001
9811,2011-07-15,53.630001
9812,2011-07-18,53.32
9813,2011-07-19,53.970001
9814,2011-07-20,53.889999
9815,2011-07-21,54.470001
9816,2011-07-22,54.52
9817,2011-07-25,53.970001
9818,2011-07-26,53.59
9819,2011-07-27,53.25
9820,2011-07-28,52.990002
9821,2011-07-29,52.709999
9822,2011-08-01,52.619999
9823,2011-08-02,51.68
9824,2011-08-03,51.279999
9825,2011-08-04,50.099998
9826,2011-08-05,50.849998
9827,2011-08-08,48.919998
9828,2011-08-09,50.82
9829,2011-08-10,48.41
9830,2011-08-11,49.73
9831,2011-08-12,49.75
9832,2011-08-15,49.98
9833,2011-08-16,51.919998
9834,2011-08-17,51.549999
9835,2011-08-18,51.790001
9836,2011-08-19,52.299999
9837,2011-08-22,52.189999
9838,2011-08-23,53.209999
9839,2011-08-24,53.369999
9840,2011-08-25,52.700001
9841,2011-08-26,52.900002
9842,2011-08-29,53.189999
9843,2011-08-30,52.82
9844,2011-08-31,53.189999
9845,2011-09-01,52.650002
9846,2011-09-02,52.029999
9847,2011-09-06,51.68
9848,2011-09-07,52.419998
9849,2011-09-08,52.209999
9850,2011-09-09,51.360001
9851,2011-09-12,51.82
9852,2011-09-13,51.59
9853,2011-09-14,52.200001
9854,2011-09-15,52.509998
9855,2011-09-16,52.650002
9856,2011-09-19,52.450001
9857,2011-09-20,52.290001
9858,2011-09-21,51.32
9859,2011-09-22,50.279999
9860,2011-09-23,50.799999
9861,2011-09-26,51.830002
9862,2011-09-27,52.029999
9863,2011-09-28,51.310001
9864,2011-09-29,51.93
9865,2011-09-30,51.900002
9866,2011-10-03,51.959999
9867,2011-10-04,52.880001
9868,2011-10-05,52.650002
9869,2011-10-06,52.75
9870,2011-10-07,53.700001
9871,2011-10-10,54.810001
9872,2011-10-11,54.720001
9873,2011-10-12,55.200001
9874,2011-10-13,55.02
9875,2011-10-14,55.459999
9876,2011-10-17,54.779999
9877,2011-10-18,55.889999
9878,2011-10-19,56.25
9879,2011-10-20,56.369999
9880,2011-10-21,56.919998
9881,2011-10-24,56.779999
9882,2011-10-25,56.709999
9883,2011-10-26,57.369999
9884,2011-10-27,57.810001
9885,2011-10-28,57.150002
9886,2011-10-31,56.720001
9887,2011-11-01,56.23
9888,2011-11-02,56.860001
9889,2011-11-03,57.419998
9890,2011-11-04,57.5
9891,2011-11-07,57.939999
9892,2011-11-08,59.32
9893,2011-11-09,58.049999
9894,2011-11-10,58.130001
9895,2011-11-11,59.200001
9896,2011-11-14,58.889999
9897,2011-11-15,57.459999
9898,2011-11-16,56.68
9899,2011-11-17,56.73
9900,2011-11-18,57.23
9901,2011-11-21,56.66
9902,2011-11-22,56.849998
9903,2011-11-23,56.639999
9904,2011-11-25,56.889999
9905,2011-11-28,57.25
9906,2011-11-29,58.169998
9907,2011-11-30,58.900002
9908,2011-12-01,58.610001
9909,2011-12-02,58.09
9910,2011-12-05,58.34
9911,2011-12-06,58.779999
9912,2011-12-07,58.509998
9913,2011-12-08,57.98
9914,2011-12-09,58.32
9915,2011-12-12,58.09
9916,2011-12-13,57.599998
9917,2011-12-14,57.650002
9918,2011-12-15,57.950001
9919,2011-12-16,58.27
9920,2011-12-19,57.779999
9921,2011-12-20,59.189999
9922,2011-12-21,59.389999
9923,2011-12-22,59.189999
9924,2011-12-23,59.990002
9925,2011-12-27,59.830002
9926,2011-12-28,59.73
9927,2011-12-29,59.990002
9928,2011-12-30,59.759998
9929,2012-01-03,60.330002
9930,2012-01-04,59.709999
9931,2012-01-05,59.419998
9932,2012-01-06,59.0
9933,2012-01-09,59.18
9934,2012-01-10,59.040001
9935,2012-01-11,59.400002
