ID,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat,y
1511,2021-10-16,156.377145093562,152.385697195663,174.024343237675,146.283090273963,167.313792731349,6.8648089998817,6.8648089998817,6.8648089998817,3.0709810024643,3.0709810024643,3.0709810024643,-0.383872475549886,-0.383872475549886,-0.383872475549886,4.17770047296728,4.17770047296728,4.17770047296728,163.241954093443,
1512,2021-10-17,156.445388688112,153.269425159904,175.429831967568,146.247012059609,167.496140523742,6.92762514033694,6.92762514033694,6.92762514033694,3.0709810024643,3.0709810024643,3.0709810024643,-0.383872873389599,-0.383872873389599,-0.383872873389599,4.24051701126223,4.24051701126223,4.24051701126223,163.373013828449,
1513,2021-10-18,156.513632282663,152.977110271018,175.170946388124,146.210933845255,167.656518162163,7.41034243099964,7.41034243099964,7.41034243099964,3.0709810024643,3.0709810024643,3.0709810024643,0.0415615201919847,0.0415615201919847,0.0415615201919847,4.29779990834335,4.29779990834335,4.29779990834335,163.923974713663,
1514,2021-10-19,156.581875877214,153.279264697832,176.616795936264,146.174855630901,167.816895800583,7.73765137316337,7.73765137316337,7.73765137316337,3.0709810024643,3.0709810024643,3.0709810024643,0.317090441496523,0.317090441496523,0.317090441496523,4.34957992920255,4.34957992920255,4.34957992920255,164.319527250378,
1515,2021-10-20,156.650119471765,153.187797803462,176.249878230175,146.125597625854,168.03401624377,7.61985964045114,7.61985964045114,7.61985964045114,3.0709810024643,3.0709810024643,3.0709810024643,0.152800949616795,0.152800949616795,0.152800949616795,4.39607768837004,4.39607768837004,4.39607768837004,164.269979112216,
1516,2021-10-21,156.718363066316,152.810123344943,176.398458307934,146.072537632916,168.231841087002,7.64867907693485,7.64867907693485,7.64867907693485,3.0709810024643,3.0709810024643,3.0709810024643,0.140005182147344,0.140005182147344,0.140005182147344,4.4376928923232,4.4376928923232,4.4376928923232,164.367042143251,
1517,2021-10-22,156.786606660867,153.536494031046,176.53712056748,146.032555106409,168.364302758527,7.66225697354464,7.66225697354464,7.66225697354464,3.0709810024643,3.0709810024643,3.0709810024643,0.116287255486593,0.116287255486593,0.116287255486593,4.47498871559375,4.47498871559375,4.47498871559375,164.448863634411,
1518,2021-10-23,156.854850255418,153.074399744682,176.216295349068,145.998729314827,168.495043431722,7.19578020191995,7.19578020191995,7.19578020191995,3.0709810024643,3.0709810024643,3.0709810024643,-0.38387247555019,-0.38387247555019,-0.38387247555019,4.50867167500584,4.50867167500584,4.50867167500584,164.050630457337,
1519,2021-10-24,156.923093849968,152.980466328875,176.705663068606,145.964903523244,168.625784104918,7.22667561341391,7.22667561341391,7.22667561341391,3.0709810024643,3.0709810024643,3.0709810024643,-0.38387287338948,-0.38387287338948,-0.38387287338948,4.53956748433909,4.53956748433909,4.53956748433909,164.149769463382,
1520,2021-10-25,156.991337444519,153.358379883051,177.577878927546,145.931077731662,168.771379664957,7.68113600188068,7.68113600188068,7.68113600188068,3.0709810024643,3.0709810024643,3.0709810024643,0.0415615201922036,0.0415615201922036,0.0415615201922036,4.56859347922417,4.56859347922417,4.56859347922417,164.6724734464,
1521,2021-10-26,157.05958103907,152.890948803241,177.786978100607,145.89209005472,168.947753501525,7.98479974030952,7.98479974030952,7.98479974030952,3.0709810024643,3.0709810024643,3.0709810024643,0.317090441496162,0.317090441496162,0.317090441496162,4.59672829634905,4.59672829634905,4.59672829634905,165.04438077938,
1522,2021-10-27,157.127824633621,153.006209480611,176.89995787395,145.846770324718,169.127988412612,7.8487615214032,7.8487615214032,7.8487615214032,3.0709810024643,3.0709810024643,3.0709810024643,0.152800949616488,0.152800949616488,0.152800949616488,4.62497956932241,4.62497956932241,4.62497956932241,164.976586155024,
1523,2021-10-28,157.196068228172,153.547047568875,177.37379848378,145.801450594716,169.307910829798,7.86533664822294,7.86533664822294,7.86533664822294,3.0709810024643,3.0709810024643,3.0709810024643,0.140005182147346,0.140005182147346,0.140005182147346,4.6543504636113,4.6543504636113,4.6543504636113,165.061404876395,
1524,2021-10-29,157.264311822723,153.441618582825,177.114397757792,145.756130864714,169.457426058728,7.87307417085128,7.87307417085128,7.87307417085128,3.0709810024643,3.0709810024643,3.0709810024643,0.116287255486407,0.116287255486407,0.116287255486407,4.68580591290057,4.68580591290057,4.68580591290057,165.137385993574,
1525,2021-10-30,157.332555417273,153.307487217965,177.337988481034,145.715253273812,169.653553022528,7.40734796458321,7.40734796458321,7.40734796458321,3.0709810024643,3.0709810024643,3.0709810024643,-0.38387247554887,-0.38387247554887,-0.38387247554887,4.72023943766778,4.72023943766778,4.72023943766778,164.739903381857,
1526,2021-10-31,157.400799011824,152.666881266024,177.664757498349,145.678815543567,169.85223357779,7.44554955198779,7.44554955198779,7.44554955198779,3.0709810024643,3.0709810024643,3.0709810024643,-0.383872873389195,-0.383872873389195,-0.383872873389195,4.75844142291268,4.75844142291268,4.75844142291268,164.846348563812,
1527,2021-11-01,157.469042606375,152.778515953982,178.484653389724,145.647081378757,170.035212635388,7.91361222818538,7.91361222818538,7.91361222818538,3.0709810024643,3.0709810024643,3.0709810024643,0.0415615201928065,0.0415615201928065,0.0415615201928065,4.80106970552827,4.80106970552827,4.80106970552827,165.38265483456,
1528,2021-11-02,157.537286200926,153.455551891268,179.027395660658,145.61158827975,170.191911372294,8.2366947170743,8.2366947170743,8.2366947170743,3.0709810024643,3.0709810024643,3.0709810024643,0.317090441496326,0.317090441496326,0.317090441496326,4.84862327311367,4.84862327311367,4.84862327311367,165.773980918,
1529,2021-11-03,157.605529795477,153.031198499058,178.60680427991,145.570781108605,170.371577277829,8.12520175810188,8.12520175810188,8.12520175810188,3.0709810024643,3.0709810024643,3.0709810024643,0.152800949616462,0.152800949616462,0.152800949616462,4.90141980602112,4.90141980602112,4.90141980602112,165.730731553579,
