Date,score,num_comments,Open,High,Low,Close,Adj_Close,Volume,High_Low_pct,ewm_5,price_std_5,volume_Change,volume_avg_5,volume_Close
2020-08-26,1689,122,130.21000700000002,130.880005,129.699997,130,130,6271600,-0.248405898827195,130.99356969607007,1.6733200530683339,-0.13385261297094242,12785660.0,8072061.915520717
2020-08-27,918,80,131.080002,139.350006,130.899994,136,136,39672900,6.160978569636738,130.66237979738005,0.8944271910002579,5.325802028190574,8691140.0,2469787.585603264
2020-08-28,849,34,141.0,141.070007,137.83999599999999,140,139,21350300,-0.6177507203540051,132.4415865315867,2.6076809620811767,-0.4618417105883361,14082040.0,14341731.22754014
2020-09-01,1070,127,141.199997,149.58999599999999,140.050003,147,147,35708200,1.953548145811245,134.96105768772446,4.4497190922574665,0.6724917214278019,16564720.0,14302776.446445635
2020-09-02,1181,60,151.25,151.330002,145.610001,147,147,17222000,-0.40041874244561737,138.97403845848297,7.197221686178675,-0.5177018163895128,22048760.0,15539248.013111832
2020-09-03,1647,68,146.699997,149.600006,141.809998,144,144,16005000,0.3618892723969813,141.64935897232198,7.314369419163938,-0.07066542794100572,24045000.0,13692789.866385886
2020-09-04,1550,117,144.020004,145.03999299999998,140.100006,142,142,11327400,-0.36585597858179686,142.43290598154798,4.764451699828702,-0.2922586691658856,25991680.0,10951826.498671351
2020-09-08,2182,141,141.41000400000001,141.899994,138.259995,138,137,11322300,-0.26315615810324844,142.28860398769865,3.0822070014845875,-0.00045023571163727016,20322580.0,9313187.797526687
2020-09-09,1829,161,140.08999599999999,142.610001,139.449997,139,139,11223000,-0.13186679446889282,140.85906932513242,3.7815340802378885,-0.008770302853660428,18316980.0,10084375.819652895
2020-09-10,2026,109,140.059998,140.53999299999998,136.58999599999999,136,136,11236400,0.24999746835762782,140.23937955008827,3.6742346141748503,0.001193976655083251,13419940.0,2947183.317678084
2020-09-11,2082,118,137.050003,138.440002,135.550003,136,136,9626600,-0.2683541278638967,138.8262530333922,3.1937438845343578,-0.14326652664554484,12222820.0,2114844.1578518264
2020-09-14,918,37,136.139999,141.100006,135.880005,137,136,15244600,0.806229344716042,137.88416868892813,2.489979919597869,0.5835912991087195,10947140.0,739753.1128694222
2020-09-15,1764,129,138.229996,139.080002,136.679993,137,136,10142600,-0.5402282489984171,137.58944579261876,1.3038404810407855,-0.33467588523149183,11730580.0,2088277.5371104293
2020-09-16,2120,71,138.41000400000001,138.679993,136.050003,136,135,9286800,0.09582505732269331,137.39296386174584,1.224744871391866,-0.08437678701713569,11494640.0,2209087.0168465525
2020-09-17,889,68,135.429993,137.570007,135.020004,136,136,12415000,-0.030413423625180624,136.92864257449722,0.5477225575058167,0.3368436921221518,11107400.0,2427511.9402384
2020-09-18,1057,35,136.440002,137.529999,134.75,135,134,18236400,0.09019440369285814,136.61909504966482,0.5477225575058167,0.4689005235602095,11343120.0,2499330.612784151
2020-09-21,2229,131,136.5,137.240005,135.28999299999998,137,136,15758500,-0.29855658221459336,136.07939669977654,0.836660026534515,-0.13587659845144873,13065080.0,3699045.5217528753
2020-09-22,2046,179,137.070007,138.990005,136.570007,138,137,11034000,0.24101697835704283,136.3862644665177,0.836660026534515,-0.29980645365992953,13167860.0,3780976.60373613
2020-09-23,1071,91,139.0,139.240005,135.820007,135,135,7711100,0.41322348200287906,136.9241763110118,1.1401754250994505,-0.3011509878557187,13346140.0,3620268.565728239
2020-09-24,1690,270,135.729996,137.78999299999998,135.070007,136,136,9817700,-0.20468199104210494,136.2827842073412,1.3038404810408117,0.2731905953754976,13031000.0,4098909.80688768
2020-09-25,931,118,136.520004,137.53999299999998,135.96000700000002,137,136,7539600,-0.41911980429311924,136.18852280489412,1.3038404810408117,-0.2320400908563105,12511540.0,4353185.438618484
2020-09-28,863,31,137.16000400000001,138.050003,136.720001,137,136,7065700,-0.158219123460563,136.45901520326274,1.1401754250994405,-0.0628547933577378,10372180.0,3348983.1720986594
2020-09-30,1454,132,137.389999,141.740005,137.199997,139,139,11608800,2.413534716489129,136.63934346884182,1.1401754250994405,0.6429794641719857,8633620.0,1708081.2062077143
2020-10-01,1022,36,140.800003,144.380005,140.259995,143,142,14430300,-0.09251040967328528,137.4262289792279,1.4832396974193576,0.24304837709323968,8748580.0,1916634.9748974112
2020-10-02,818,55,142.33999599999999,143.100006,140.130005,140,139,8195000,-0.2791277205637873,139.2841526528186,2.792848008753875,-0.4320977387857494,10092420.0,3036033.851425244
2020-10-05,1730,82,141.28999299999998,142.190002,141.070007,141,141,4753000,-0.622897433367871,139.52276843521238,2.489979919597826,-0.42001220256253813,9767880.0,3157059.8152394895
2020-10-06,1409,129,141.869995,142.940002,140.25,140,140,7158500,1.4017982223135101,140.01517895680826,2.2360679774998578,0.5061014096360195,9210560.0,3824227.6492123217
2020-10-07,839,34,141.259995,141.550003,140.25,140,140,5649700,-0.5167278686038124,140.01011930453885,1.5165750888103877,-0.21077041279597686,9229120.0,3811419.4176185858
2020-10-08,1979,129,141.509995,142.08999599999999,141.119995,141,140,4892300,-0.2538471065066823,140.0067462030259,1.3038404810406115,-0.13406021558666836,8037300.0,3812966.9543545744
2020-10-09,3149,233,141.66000400000001,143.33999599999999,141.559998,142,142,4831600,0.8350475927344245,140.33783080201727,0.5477225575054019,-0.012407252212660702,6129700.0,1498395.4067601783
2020-10-13,1564,50,144.679993,146.600006,144.360001,146,145,7933400,0.2584311892485409,140.89188720134484,0.8366600265342027,0.6419819521483567,5457020.0,1017086.8679714629
2020-10-14,1475,77,146.399994,146.529999,143.759995,143,143,6574100,0.23660616828980485,142.59459146756322,2.4899799195977663,-0.17133889631179566,6093100.0,1392092.6423913029
2020-10-15,1569,62,143.08999599999999,144.96000700000002,142.83999599999999,144,144,4564200,-0.23465417378457454,142.72972764504215,2.3021728866442746,-0.30573006190961505,5976220.0,1301889.6715927967
2020-10-16,2527,164,145.399994,146.149994,144.470001,144,144,5645000,-0.20755458344321354,143.15315176336142,1.9235384061671188,0.23679943911309764,5759120.0,1451825.573889646
2020-10-20,2189,85,144.110001,145.529999,143.619995,143,143,4841000,0.13691187998998777,143.4354345089076,1.4832396974190893,-0.14242692648361377,5909660.0,1376546.8564491367
2020-10-21,2016,84,143.83999599999999,145.729996,143.83999599999999,144,143,4371400,-0.010473276495756023,143.29028967260507,1.2247448713915272,-0.0970047510844867,5911540.0,1374711.619940706
2020-10-22,1634,54,144.190002,144.559998,142.690002,143,143,4448000,-0.010584126984126918,143.5268597817367,0.5477225575050486,0.017522990346342082,5199140.0,909102.9523656823
2020-10-23,1797,94,143.970001,144.139999,142.850006,143,143,3513500,-0.31016269553519304,143.35123985449113,0.5477225575050486,-0.2100944244604317,4773920.0,518533.69418004074
2020-10-26,769,25,142.83999599999999,143.119995,140.940002,142,141,5370600,0.6899262244058904,143.2341599029941,0.5477225575050589,0.5285612636971682,4563780.0,774498.3486102473
2020-10-27,817,56,142.050003,143.699997,141.970001,142,142,3943700,-0.20642130502253775,142.82277326866273,0.7071067811864967,-0.26568726026887124,4508900.0,683054.4487813545
2020-10-28,2068,127,140.96000700000002,142.130005,139.880005,140,139,5616400,0.3005810418058772,142.5485155124418,0.8366600265340394,0.42414483860334196,4329440.0,691806.4563156374
2020-10-29,734,102,140.0,141.110001,138.699997,139,139,5051300,0.07111288888889544,141.69901034162788,1.2247448713916014,-0.10061605298767895,4578440.0,902619.1184547334
2020-10-30,3035,169,139.179993,140.08999599999999,137.369995,138,138,6200600,0.12862924708837808,140.7993402277519,1.6431676725155213,0.22752558747253193,4699100.0,920960.4904663392
2020-11-02,1950,109,140.58999599999999,140.809998,139.029999,140,139,5525200,-0.34558884353351116,139.86622681850127,1.7888543819998688,-0.1089249427474761,5236520.0,836275.449239065
2020-11-03,1147,172,141.649994,144.16000400000001,141.570007,142,142,5137700,0.4550553118288301,139.91081787900086,1.4832396974191848,-0.07013320784767973,5267440.0,845281.7536182832
2020-11-06,2049,152,144.360001,146.220001,143.550003,145,145,5399500,0.030888452766540286,140.6072119193339,1.4832396974191848,0.05095665375557146,5506240.0,457554.00009179243
2020-11-09,897,148,148.0,148.199997,143.479996,143,143,9399500,0.7677919608928581,142.07147461288926,2.7748873851023497,0.740809334197611,5462860.0,454772.39691960195
2020-11-10,1539,106,143.75,146.440002,143.529999,145,145,6066400,-0.38347407129786815,142.3809830752595,2.701851217221288,-0.354603968296186,6332500.0,1758810.3891551243
2020-11-11,1163,37,146.919998,148.96000700000002,146.399994,147,147,6268600,-0.1202713536721316,143.25398871683967,2.12132034355966,0.033331135434524484,6305660.0,1762346.8452606031
2020-11-12,1728,322,148.479996,148.71000700000002,147.100006,148,147,4188100,-0.37109655302531874,144.50265914455977,1.9493588689617918,-0.3318922885492773,6454340.0,1710642.6082031277
2020-11-13,2146,128,148.940002,150.940002,147.520004,150,149,6579400,1.1242210408564772,145.66843942970652,1.9493588689617567,0.5709749050882262,6264420.0,1931783.3307594308
